descriptor,source,operations,top_fraction,dedup_mode,quality_mode,output_csv,macro_f1,mcc,accuracy,precision,recall,is_best
conf060_dedup_config,conf060,dedup,,config,,phase3test\phase3_conf060_dedup_config.csv,0.5845529008346875,0.2820745462712817,0.5470588235294118,0.5961980584657026,0.589808351209084,False
conf060_dedup_p75_25,conf060,dedup,,p75_25,,phase3test\phase3_conf060_dedup_p75_25.csv,0.5842836496769361,0.2878591830344224,0.5617647058823529,0.5858822896130771,0.5922255584189295,True
train_conf040_dedup_p75_25,train_conf040,dedup,,p75_25,,phase3test\phase3_train_conf040_dedup_p75_25.csv,0.5799520375639032,0.27615738836411086,0.5566176470588236,0.5843900986071147,0.5838354253452522,False
conf060_quality_config,conf060,quality,,,config,phase3test\phase3_conf060_quality_config.csv,0.5792969905811728,0.2810728997355764,0.5647058823529412,0.5802116865958962,0.5842999660787802,False
conf060_top80,conf060,top,0.8,,,phase3test\phase3_conf060_top80.csv,0.5749675749060699,0.2685197268641155,0.5360294117647059,0.5665251411295926,0.6001454158765951,False
conf060_dedup_p90_10,conf060,dedup,,p90_10,,phase3test\phase3_conf060_dedup_p90_10.csv,0.5748053310024355,0.2735700025724226,0.5514705882352942,0.5769436282421099,0.5827988300839733,False
conf060_dedup_p75_25_quality_config,conf060,dedup+quality,,p75_25,config,phase3test\phase3_conf060_dedup_p75_25_quality_config.csv,0.5735381554108114,0.2655298134350931,0.5433823529411764,0.5703155287327781,0.5886573480927244,False
train_conf040_top60_dedup_p75_25_quality_config,train_conf040,top+dedup+quality,0.6,p75_25,config,phase3test\phase3_train_conf040_top60_dedup_p75_25_quality_config.csv,0.5721033845752328,0.25909479903504595,0.5338235294117647,0.5871513010952538,0.5726113909408379,False
train_conf040_top60,train_conf040,top,0.6,,,phase3test\phase3_train_conf040_top60.csv,0.5715946080808944,0.2704394463103293,0.5470588235294118,0.5743752433727267,0.579539800084437,False
train_conf040_dedup_p75_25_quality_config,train_conf040,dedup+quality,,p75_25,config,phase3test\phase3_train_conf040_dedup_p75_25_quality_config.csv,0.5708011106854998,0.2576431882763416,0.5345588235294118,0.5884186211623208,0.5690692011186682,False
train_conf040_top70,train_conf040,top,0.7,,,phase3test\phase3_train_conf040_top70.csv,0.5706624765459332,0.25934110376597486,0.5375,0.5751205832602824,0.5786649407110767,False
train_conf040_dedup_config,train_conf040,dedup,,config,,phase3test\phase3_train_conf040_dedup_config.csv,0.5701116622266981,0.26835522153531133,0.5338235294117647,0.5961531753176608,0.5673920987961627,False
train_conf040_dedup_p90_10,train_conf040,dedup,,p90_10,,phase3test\phase3_train_conf040_dedup_p90_10.csv,0.5676761693352947,0.2629941477313367,0.549264705882353,0.5745672489747378,0.5701527431041089,False
train_conf040_top80,train_conf040,top,0.8,,,phase3test\phase3_train_conf040_top80.csv,0.5668785508321422,0.246727759395434,0.5294117647058824,0.5822054515177174,0.5653995626847059,False
train_conf040_top60_quality_config,train_conf040,top+quality,0.6,,config,phase3test\phase3_train_conf040_top60_quality_config.csv,0.5609244228677077,0.23953223229372458,0.5330882352941176,0.5605749039387302,0.5689281321609769,False
train_conf040_quality_config,train_conf040,quality,,,config,phase3test\phase3_train_conf040_quality_config.csv,0.560165778902577,0.24290790710513976,0.5316176470588235,0.5702168048467238,0.5616284351335984,False
train_conf040_top60_dedup_p75_25,train_conf040,top+dedup,0.6,p75_25,,phase3test\phase3_train_conf040_top60_dedup_p75_25.csv,0.5567079849347876,0.2549337114493594,0.538235294117647,0.5540337196651026,0.5691434190393219,False
conf060_top70,conf060,top,0.7,,,phase3test\phase3_conf060_top70.csv,0.5558300314485809,0.25177810538663076,0.5139705882352941,0.5555877881074526,0.5793323376601192,False
conf060_top60,conf060,top,0.6,,,phase3test\phase3_conf060_top60.csv,0.555048703761168,0.2536644516993185,0.5213235294117647,0.5525594073446417,0.5770962520712688,False
conf060_quality_p10,conf060,quality,,,p10,phase3test\phase3_conf060_quality_p10.csv,0.5522545555573039,0.2437104286130344,0.5345588235294119,0.5434733283670476,0.5705240004831944,False
conf060_top60_dedup_p75_25_quality_config,conf060,top+dedup+quality,0.6,p75_25,config,phase3test\phase3_conf060_top60_dedup_p75_25_quality_config.csv,0.548962478323586,0.2220016779562175,0.5,0.5605002934974203,0.5580474738452753,False
conf060_top60_quality_config,conf060,top+quality,0.6,,config,phase3test\phase3_conf060_top60_quality_config.csv,0.5485981765496191,0.23955090827784115,0.5044117647058823,0.5563738413605184,0.5656227045217719,False
conf060_top60_dedup_p75_25,conf060,top+dedup,0.6,p75_25,,phase3test\phase3_conf060_top60_dedup_p75_25.csv,0.546284768511674,0.2297561780446889,0.5088235294117647,0.5446411830733736,0.564902305666796,False
train_conf040_quality_p10,train_conf040,quality,,,p10,phase3test\phase3_train_conf040_quality_p10.csv,0.5348614347641159,0.23630167588807813,0.5352941176470588,0.5411805631530409,0.5358514043140958,False
conf060_quality_p25,conf060,quality,,,p25,phase3test\phase3_conf060_quality_p25.csv,0.5004502159520137,0.2522362645798909,0.5345588235294118,0.5174152601978591,0.49938746574322856,False
train_conf040_quality_p25,train_conf040,quality,,,p25,phase3test\phase3_train_conf040_quality_p25.csv,0.4599463979149905,0.23757230292492848,0.5161764705882352,0.47907906296956326,0.46376573127072795,False
